id,question,option_a,option_b,option_c,option_d,correct_answer,explanation
11,階層型クラスタリングに関する記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>データ集合を、類似したデータからなる部分集合(クラスタ)に分割する問題をクラスタリングという。クラスタリングのうち、( ア )するものを階層型クラスタリングという。階層型クラスタリングの結果は、デンドログラム(樹形図)という図で表される。この図において、横線と縦線の交点の数kは( イ )である。,(ア)クラスタの中心点をランダムにk個配置し更新 (イ)クラスタ数,(ア)クラスタの中心点をランダムにk個配置し更新 (イ)クラスタ間の距離,(ア)データの各要素を1つのクラスタととらえ、最も距離の近いクラスタ同士を結合 (イ)クラスタ数,(ア)データの各要素を1つのクラスタととらえ、最も距離の近いクラスタ同士を結合 (イ)クラスタ間の距離,C,【正解：C】<br>・(ア) 個々のデータを結合していく（凝集型）のが **階層型クラスタリング** です。（中心点を更新するのは非階層型のk-means法です）<br>・(イ) デンドログラムをある高さで切った時の、縦線との交点の数は、その時点での **クラスタ数** を表します。
12,外れ値（他のデータと極端に値の異なるデータ）を含むデータ集合への対処法として、最も適切でないものを選べ。,データ集合に対して0-1正規化を行う,ヒストグラムを用いて外れ値を特定し、そのデータを除去する,データ集合に対して標準化を行い、しきい値（3シグマなど）を超えた値を除去する,データ集合から、値の大きさが上位5%および下位5%のデータを除去する,A,【正解：A】<br>0-1正規化（Min-Max Scaling）は「最大値」と「最小値」を使って計算するため、極端な外れ値があると、**正常なデータが非常に狭い範囲に押し込められてしまい**、分布が歪んでしまいます。外れ値の対処法としては不適切（むしろ悪影響を受けやすい）です。
13,データの可視化手法の名称とその用途の組み合わせとして、最も適切なものを選べ。,名称:棒グラフ 用途:データの散らばり具合を見る,名称:ヒストグラム 用途:数値の大小を比較する,名称:散布図 用途:データの相関関係を調べる,名称:円グラフ 用途:データの推移を確認する,C,【正解：C】<br>・**散布図**：2変数の関係（相関）を見るのに適しています。<br>・棒グラフ：大小比較。<br>・ヒストグラム：データの分布（ばらつき）。<br>・円グラフ：構成比（割合）。<br>・折れ線グラフ：推移。
14,以下の記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>一般に数や量で測れないデータを質的変数といい、数値演算の行えるデータを量的変数という。<br>・量的変数を、カテゴリを表す質的変数に変換すること（例：年齢→年代）を( ア )と呼ぶ。<br>・量的変数を、等間隔の区間で分割すること（例：ヒストグラムの階級作成）を( イ )と呼ぶ。,(ア)カテゴライズ (イ)ビン化,(ア)サンプリング (イ)ビン化,(ア)カテゴライズ (イ)アンサンブル平均,(ア)サンプリング (イ)アンサンブル平均,A,【正解：A】<br>・(ア) 数値をカテゴリ（年代やレベルなど）に分ける処理は **カテゴライズ**。<br>・(イ) 数値を一定の幅（ビン）で区切る処理は **ビン化 (Binning)** と呼びます。
15,データの集計・可視化をする際の注意点として、最も適切でないものを選べ。,データの打ち切りや脱落を避ける,グラフに用いる色の数を少なくする,グラフの軸の基準点は原則として0にする,なるべく棒グラフより円グラフを用いる,D,【正解：D】<br>円グラフは「人間が面積や角度の違いを正確に認識しづらい」ため、細かい比較には不向きとされています。データの大小比較には、円グラフよりも **棒グラフ** を用いるのが原則です。
16,あなたは証券会社の依頼で、2万件の顧客データ（所得・年齢・返済履歴など）を使って融資返済予測モデルを作ることになった。まず初めに行うべき分析方法として、最も適切でないものを選べ。,データの構造や性質を理解するために、生データを20件眺める,生データを20件眺め、不要そうな説明変数を削除する,データの分布を確認するため、各変数に対してヒストグラムを作成する,データを「返済できたもの」と「返済できなかったもの」に分割し、それぞれの変数の平均と分散を比較する,B,【正解：B】<br>たった20件のデータを見ただけで「この変数は不要だ」と判断して削除するのは危険です。変数の取捨選択（特徴量選択）は、データ全体の統計量や相関を確認してから行うべきです。
17,"以下に示す図表(クロス集計表、散布図、ヒストグラム)に関する記述のうち、最も適切でないものを選べ。<br>【例1:クロス集計表】 本社勤務＆電車通勤=20人, 本社＆非電車=10人, 非本社＆電車=30人, 非本社＆非電車=40人（全100人）<br>【例2:散布図】 右上がりの分布<br>【例3:ヒストグラム】 0〜12の範囲のデータ",例1を見ると、電車通勤をしている本社勤務の社員の割合は、全体の20%である,例1を見ると、電車通勤の社員の割合は、全体の30%である,例2を見ると、2変数間には正の相関がある,例3のデータに関しては、データの範囲(レンジ)が狭く、ヒストグラムとして表す必要性があまりない,B,【正解：B】<br>クロス集計表の数字を確認します。<br>・電車通勤の合計人数 ＝ 本社(20) ＋ 非本社(30) ＝ 50人。<br>・全社員数は100人。<br>したがって、電車通勤の割合は `50/100 = 50%` です。「30%」という記述は誤りです。
18,以下の記述を読み、空欄ア、イに入る語句の組み合わせとして、最も適切なものを選べ。<br>図1のような図をボロノイ図という。ボロノイ図とは( ア )である。<br>また図2のような図をヒートマップという。ヒートマップとは( イ )である。,(ア)データをボロノイ点として配置し領域分け (イ)2次元データの値を色の濃淡で表現,(ア)データをボロノイ点として配置し領域分け (イ)ヒストグラムを2次元に拡張,(ア)データを母点として配置し、どの母点に近いかによって領域分け (イ)ヒストグラムを2次元に拡張,(ア)データを母点として配置し、どの母点に近いかによって領域分け (イ)2次元データの値を色の濃淡で表現,D,【正解：D】<br>・(ア) **ボロノイ図**：配置された点（母点）からの距離が最も近い領域ごとに分割した図。<br>・(イ) **ヒートマップ**：データの強弱や頻度を「色」で表現した図（サーモグラフィーのような見た目）。
19,以下に示す図(散布図行列・平行座標プロット)に関する記述のうち、最も適切でないものを選べ。,散布図行列から、変数1と変数2の間には正の相関があることが読み取れる,散布図行列の変数3のヒストグラムは、値の分布が把握できているとは言い難いため、個別にヒストグラムを作成しビン幅を調節したほうがよい,平行座標プロットは、横軸のラベルの並び順が不適切である,平行座標プロットから、マンチカンはシャムネコよりも尾の長さが短い傾向にあると読み取れる,C,【正解：C】<br>平行座標プロット（Parallel Coordinates Plot）において、横軸には複数の変数（特徴量）が並びますが、この**並び順に決まった正解（時系列のような順序）はありません**。「順序が不適切である」という指摘は、通常は当たりません。<br>（逆に、順序を入れ替えることで見えなかった関係性が見えてくることがあります）
20,以下の表のような度数分布表が与えられたとき、中央値を含む階級として適切なものを選べ。<br>・0~20: 2人<br>・20~40: 13人<br>・40~60: 20人<br>・60~80: 21人<br>・80~100: 4人<br>（合計60人）,20~40,40~60,60~80,80~100,B,"【正解：B】<br>データ総数が60人なので、中央値（メジアン）は **30番目と31番目** の人がいる場所です。<br>上から累積していくと、<br>・20まで：2人<br>・40まで：2+13=15人<br>・60まで：15+20=**35人** ←ここに30,31番目が含まれます。<br>よって正解は **40~60** の階級です。"
21,2025年における日本の将来推計人口ピラミッド（50-60代の人口が最も多く、若年層が少ない壺型）から読み取れることとして、最も適切なものを選べ。,男女とも、20歳代から30歳代の人口よりも、50歳代から60歳代の人口のほうが多い,2020年時点よりも高齢化が進んでいることがわかる,2000年以降の出生数は増加傾向にある,高齢出産の割合が多い,A,【正解：A】<br>人口ピラミッドの図単体から読み取れる事実を選びます。<br>・A：図の形状（ボリュームゾーンが上にある）から明らかに読み取れます。<br>・B：比較対象（2020年の図）がないため、この図だけでは「進んでいる」かは判断できません。<br>・C：若年層が少ないため、出生数は減少傾向に見えます（増加は誤り）。<br>・D：出産年齢のデータはこの図にはありません。
22,( ア )に従うことで、効率のよいデータ収集と適切なデータ解析を行うことが可能となる。また、標本誤差とは( イ )を表す量である。<br>ここで、「標本の値」は標本から算出される値、「母集団の値」は母集団の真の値を意味する。,(ア)実験計画法 (イ)標本の値と母集団の値の差,(ア)実験計画法 (イ)標本の値のばらつき,(ア)収集解析法 (イ)標本の値と母集団の値の差,(ア)収集解析法 (イ)標本の値のばらつき,A,【正解：A】<br>・(ア) データの取り方や実験条件を統計的に設計する手法を **実験計画法 (Design of Experiments)** と呼びます。<br>・(イ) 標本調査における、全数調査（真の値）とのズレを **標本誤差** と呼びます。
23,馬の画像分類モデルを構築するため、1万枚の画像を集めたが、そのうち「馬」は200枚だけで、さらにその98%が「競馬場」、2%が「牧場」の写真だった。このとき起こりうる問題点として、最も適切でないものを選べ。,CNNは、馬のような複雑な形状を認識するのに適していないため、精度の低いモデルになる可能性がある,訓練データの総数に対して、馬が写っている画像の数が極端に少ないため、学習の工夫をしなければ、精度の低いモデルになる可能性がある,馬の写っている画像のほとんどが競馬場で撮られたものであるため、他の場所で撮られた馬が写っている画像に対して、分類精度が低いモデルになる可能性がある,競馬場で撮影された写真には馬とともに騎手が多く写っているため、馬のみが写っている画像を、馬が写っている画像と認識できないモデルになる可能性がある,A,【正解：A】<br>CNN（畳み込みニューラルネットワーク）は、画像認識において**複雑な形状や特徴を抽出するのが非常に得意**なモデルです。「適していない」という記述は誤りです。<br>その他のB（不均衡データ）、C（背景バイアス）、D（共起バイアス）はすべて懸念される問題点として適切です。
24,ある大学での調査で、「マラソンの記録がよい集団の中には、成績のよい人が多い」という傾向（正の相関）が見られた。この結果から導ける結論として、最も適切なものを選べ。,マラソンの記録と成績の間には、正の相関関係がある,成績がよいと、マラソンの記録がよくなる,成績のよい人は、運動神経がよい,成績のよい人は、トレーニングをする時間的余裕がある,A,【正解：A】<br>データから言えるのは「相関関係がある」という事実だけです。<br>B（因果関係）、C・D（理由の推測）は、このデータだけでは断定できません（「擬似相関」の可能性があります）。
25,機械学習の手法とタスクの組み合わせとして、最も適切でないものを選べ。,(ア)線形回帰 - (イ)回帰,(ア)k-means法 - (イ)回帰,(ア)ランダムフォレスト - (イ)分類,(ア)サポートベクターマシン - (イ)分類,B,【正解：B】<br>k-means法は **「クラスタリング（教師なし学習）」** の手法です。「回帰」タスクには用いられません。<br>（線形回帰は回帰、ランダムフォレストやSVMは分類・回帰の両方に使えますが、選択肢の組み合わせとしては適切です）
26,機械学習における「過学習」と「次元の呪い」がもたらす問題の組み合わせとして、最も適切なものを選べ。,過学習: 未知のデータに対応できない / 次元の呪い: 学習にかかる時間が大幅に増大する,過学習: 未知のデータに対応できない / 次元の呪い: 予測にかかる時間が大幅に増大する,過学習: 予測にかかる時間が大幅に増大する / 次元の呪い: 学習にかかる時間が大幅に増大する,過学習: 予測にかかる時間が大幅に増大する / 次元の呪い: 膨大な量のデータが必要になる,A,【正解：A】<br>・**過学習 (Overfitting)**：訓練データに適合しすぎて、未知データへの精度（汎化性能）が落ちる状態。<br>・**次元の呪い**：特徴量（次元）が増えすぎると、計算量が爆発的に増えたり、データが疎になって学習が困難になる現象。
27,機械学習モデルの解釈性に関する記述として、空欄アに入る語句を選べ。<br>モデルの予測結果の「大域的(global)な説明」とは、( ア )のことである。,複雑なモデルを、人間にとって解釈可能なモデルを用いて再現する試み,ある入力に対するモデルの予測プロセスを説明する試み,モデルの学習アルゴリズムを擬似コードで書き表す試み,モデルの予測値の分布を推定する試み,A,【正解：A】<br>・**大域的な説明**：モデル全体の傾向や振る舞いを説明すること。複雑なモデル（ブラックボックス）を、決定木や線形回帰などの解釈しやすいモデルで近似・再現する手法などが該当します。<br>・Bのように「ある特定の入力」に対する説明は **局所的な説明**（LIMEやSHAPなど）と呼ばれます。
28,Webスクレイピングに関する記述として、最も適切でないものを選べ。,個人的な調査のためにWebスクレイピングを行う際には、Webサイト管理者の許可なく情報を取得しても構わない,Webスクレイピングとは、プログラムやツールを用いてWebサイトからデータを取得することをいう,Webサービスによっては、APIという形式でWebサービス上のデータが取得しやすくなっている,Webスクレイピングを行う際には、自らコーディングを行わずに、スクレイピングツールを用いて実施することもできる,A,【正解：A】<br>利用規約でスクレイピングが禁止されているサイトで行うと、規約違反や業務妨害とみなされ、損害賠償を請求される可能性があります。「個人的な調査なら許可なく行ってよい」というのは誤りです。<br>Webスクレイピング（クローリング）を行う際は、必ずサイトの利用規約（robots.txtなど）を確認し、著作権法などの法令を遵守する必要があります。
29,RDB(Relational DataBase)に関する記述として、最も不適切なものを選べ。,NoSQLは、RDBを管理するためのシステムである,RDBでは、行と列によって構成されたデータの形式をテーブルと呼ぶ,RDBでは、データベースを操作する際にSQLなどのデータベース言語を用いることができる,RDBの設計や管理を行う際には、ER図という表現形式が用いられる,A,【正解：A】<br>NoSQL（Not Only SQL）は、RDB（リレーショナルデータベース）以外のデータベース管理システムの総称です。「RDBを管理するためのシステム」ではありません。<br>RDBは表形式（テーブル）でデータを管理し、SQLで操作します。複雑な関係性を可視化するためにER図が用いられます。
30,あるデータベースに、商品テーブルと仕入先テーブルを作成した。2つのテーブルの関係をER図（IE記法）にした際、リレーションの端点が「商品側：鳥の足（多）」「仕入先側：縦棒（1）」となっている場合、このリレーションが示す多重度として最も適切なものを選べ。,1対1の関係,1対多の関係,多対多の関係,1対0の関係,B,【正解：B】<br>ER図のIE記法（Crow's Foot記法）において、鳥の足のような記号（Ψ）は「多（Many）」を、縦棒（|）は「1（One）」を表します。<br>したがって、この図は「1つの仕入先に対して、複数の商品が対応する」という **1対多** の関係を示しています。
31,RDBの正規化に関する記述を読み、空欄ア、イに当てはまる語句の組み合わせとして、最も適切なものを選べ。<br>・データの重複をなくし、1つのセルに1つの値が入るように整形した状態 ＝ ( ア )<br>・主キーによって決まる項目（部分関数従属）や、主キー以外の項目に依存する項目（推移的関数従属）を別テーブルに分離した状態 ＝ ( イ ),(ア)非正規形 (イ)第一正規形,(ア)第一正規形 (イ)第三正規形,(ア)第二正規形 (イ)第三正規形,(ア)第三正規形 (イ)第二正規形,B,【正解：B】<br>・(ア) **第一正規形**：繰り返しの排除、セルの結合解除などを行い、テーブル形式に整えた状態。<br>・(イ) **第三正規形**：主キーの一部に依存する項目（第二正規化）と、主キー以外に依存する項目（第三正規化）を別テーブルに分離し、独立性を高めた状態。
32,データ転送に関する次の記述を読み、空欄アに当てはまる語句として、最も適切なものを選べ。<br>以下の特徴をもつ通信プロトコルを( ア )と呼ぶ。<br>・Webサーバとクライアント間で通信するためのプロトコル<br>・HTMLで記載されたテキストや画像の転送に用いる<br>・通信が暗号化されない欠点がある,FTP,HTTP,HTTPS,SCP,B,【正解：B】<br>**HTTP** (Hyper Text Transfer Protocol) の説明です。暗号化されていないため、通信内容を盗聴されるリスクがあります。<br>これをSSL/TLSで暗号化したものが **HTTPS** です。<br>FTPはファイル転送用、SCPはSSHを使った安全なファイル転送プロトコルです。
33,Webブラウザ上でPythonを記述したり実行したりできる代表的な開発環境として、最も適切なものを選べ。,Jupyter Notebook,Rstudio,Tableau,DBeaver,A,【正解：A】<br>**Jupyter Notebook** は、ブラウザ上でPythonコードの実行、結果の表示、ドキュメント作成ができるツールで、データ分析の現場で標準的に使われています。<br>・Rstudio：R言語向けのIDE<br>・Tableau：BIツール<br>・DBeaver：データベース管理ツール
34,Hadoopに関する次の記述を読み、空欄ア、イに当てはまる語句の組み合わせとして、最も適切なものを選べ。<br>データを複数台のコンピュータ上に分散保存し、ネットワークを経由して管理するシステムを( ア )という。<br>Hadoop MapReduceはディスク読み書きが多く低速だが、( イ )と呼ばれるフレームワークはインメモリ処理により高速な分散処理を実現している。,(ア)拡散ファイルシステム (イ)Spark,(ア)拡散ファイルシステム (イ)Flickr,(ア)分散ファイルシステム (イ)Spark,(ア)分散ファイルシステム (イ)Flickr,C,【正解：C】<br>・(ア) **分散ファイルシステム** (HDFSなど)：データを複数のサーバに分散して保存する仕組み。<br>・(イ) **Spark** (Apache Spark)：メモリ上でデータを処理するため、Hadoop MapReduceより高速な分散処理フレームワーク。<br>※Flickrは写真共有サービスです。
35,セキュリティの3要素（CIA）として、最も適切なものを選べ。,機密性・秘匿性・重要性,秘密性・完全性・可用性,機密性・完全性・可用性,秘密性・秘匿性・重要性,C,【正解：C】<br>情報セキュリティの3要素（CIA）とは以下の通りです。<br>・**機密性 (Confidentiality)**：許可された人だけがアクセスできること。<br>・**完全性 (Integrity)**：情報が正確で、改ざんされていないこと。<br>・**可用性 (Availability)**：必要な時にいつでも使えること。
36,アクセス制御を実現するための3要素（AAA）として、最も適切なものを選べ。,認証・認可・監査,承認・認可・監査,機密・完全・可用,秘密・完全・可用,A,【正解：A】<br>アクセス制御の3要素は以下の通りです。<br>・**認証 (Authentication)**：本人確認（ID・パスワードなど）。<br>・**認可 (Authorization)**：アクセス権限の付与（閲覧のみ、編集可など）。<br>・**監査 (Accounting/Audit)**：アクセスログの記録・追跡。
37,共通鍵暗号方式に関する記述として、最も適切なものを選べ。,共通鍵をもたない第三者でも、元のデータの内容を知ることができる,共通鍵暗号方式を用いる場合は、共通鍵を相手に渡す必要はない,共通鍵を盗んだ第三者は、暗号文を復号できる,復号する際には、秘密鍵を用いる,C,【正解：C】<br>共通鍵暗号方式は、暗号化と復号に「同じ鍵（共通鍵）」を使います。<br>そのため、鍵を相手に渡す（配送する）必要がありますが、もし配送中に第三者に鍵を盗まれると、暗号文を復号されてしまうリスクがあります。<br>（Dの「秘密鍵」を用いるのは公開鍵暗号方式です）
38,公開鍵暗号方式に関する記述として、最も適切なものを選べ。,データの送信者は秘密鍵を使用して暗号化を行う,暗号化と復号は、公開鍵のみあれば行うことができる,公開鍵を用いて暗号化されたデータは、秘密鍵をもつ者のみが復号できる,第三者に内容を傍受されることは決してない,C,【正解：C】<br>公開鍵暗号方式では、ペアとなる2つの鍵を使います。<br>・**公開鍵**：誰でも使える（送信者が暗号化に使う）。<br>・**秘密鍵**：受信者だけが持つ（受信者が復号に使う）。<br>公開鍵で暗号化したデータは、ペアとなる秘密鍵でしか復号できないため、安全にデータを受け渡すことができます。
39,電子署名に関する記述として、最も適切なものを選べ。,個人の筆跡をスキャナで読み取り電子化したものを電子署名という,公開鍵を用いて平文を暗号化することによって得られるものである,電子署名には送信者の情報が含まれるため、受信者に送信しないほうがよい,ハッシュ値の一致性を根拠にした改ざん検知を行っている,D,【正解：D】<br>電子署名の主な目的は「なりすまし防止」と「改ざん検知」です。<br>送信データから生成した**ハッシュ値**を秘密鍵で暗号化したものが電子署名であり、受信側でハッシュ値を比較することで、データが通信中に書き換えられていないかを確認できます。
40,以下の記述を読み、空欄アに入る語句として、最も適切なものを選べ。<br>( ア )はコンテナと呼ばれる仮想環境上でアプリケーションを開発、移動、実行するためのプラットフォームである。( ア )を用いると、1台のコンピュータ上に、隔離された複数の環境を構築できる。,Docker,Finder,Linux,Ubuntu,A,【正解：A】<br>**Docker** は、コンテナ型仮想化技術のプラットフォームです。OSやライブラリなどの環境一式を「コンテナ」としてパッケージ化できるため、別のマシンでも同じ環境を簡単に再現（構築）できます。
41,以下の記述を読み、空欄アに入る語句として、最も適切なものを選べ。<br>( ア )は、機械学習システムの開発および運用において、機械学習エンジニアとシステム運用者を効率的につなぐための考え方である。,コーポレートガバナンス,MLOps,クラウドソーシング,XAI,B,【正解：B】<br>**MLOps** (Machine Learning Operations) は、機械学習モデルの実装・運用・改善のサイクルを効率化するための手法や考え方です。DevOpsの機械学習版と言えます。<br>XAIは「説明可能なAI」のことです。
42,以下のフローチャートにおいて、条件1=Yes、条件2=Noの場合に実行される処理として、最も適切なものを選べ。<br>[開始] -> [条件1] -(Yes)-> [条件2] -(Yes)-> [処理1] -> [終了]<br>　　　　　　|<br>　　　　　 (No)<br>　　　　　　↓<br>　　　　　[処理3]<br>　　　　　　↓<br>　　　　　[終了]<br>（条件2がNoの場合の矢印は「処理2」へ向かうものとする）,処理1,処理2,処理3,処理は行われない,B,【正解：B】<br>フローチャートの分岐をたどります。<br>1. [条件1] が Yes なので、右に進み [条件2] へ。<br>2. [条件2] が No なので、下に進み **[処理2]** へ。<br>したがって実行されるのは処理2です。
43,FizzBuzz問題のフローチャートにおいて、空欄ア〜ウに入る適切な組み合わせを選べ。<br>ルール：3の倍数かつ5の倍数なら「FizzBuzz」、3の倍数なら「Fizz」、5の倍数なら「Buzz」を出力。<br>フロー：[開始] -> [i=1] -> [ループ開始] -> [判定: ( ア )] -(Yes)-> [出力: ( イ )] -> ... -> [出力: ( ウ )],(ア)iが3の倍数かつ5の倍数 (イ)FizzBuzzと出力 (ウ)iを出力,(ア)iが3の倍数ではなく5の倍数でもない (イ)iを出力 (ウ)FizzBuzzと出力,(ア)iが15の倍数 (イ)FizzBuzzと出力 (ウ)iを出力,(ア)iが3の倍数または5の倍数 (イ)FizzBuzzと出力 (ウ)iを出力,C,【正解：C】<br>FizzBuzz問題では、最も条件が厳しい「3かつ5の倍数（15の倍数）」を最初に判定する必要があります。<br>そうしないと、15が来た時に先に「3の倍数」として判定され、Fizzと出力されてしまうからです。<br>したがって、最初の判定(ア)は「15の倍数」または「3かつ5の倍数」で、出力(イ)は「FizzBuzz」となります。
